Section,Item,Metric,_2025_Q2,_2025_Q1,_2024_Q4,_2024_Q3,_2024_Q2,_2024_Q1,_2023_Q4,_2023_Q3,_2023_Q2,_2023_Q1
,A. DAO Operations total,,,,,-$92.14k,-$57.56k,,,,,
,B. Investments,Ventures,-$79.54k,-$1.22m,-$5.09m,-$834.39k,,,,,,
,B. Investments total,,-$79.54k,-$1.22m,-$5.09m,-$834.39k,,,,,,
,C. Grants,Retroactive Allocations,-$62.36k,,-$158.44k,-$166.66k,,,,,,
,C. Grants total,,-$62.36k,,-$158.44k,-$166.66k,,,,,,
,D. Financial Management,Treasury Management,,,,,-$331.40k,,,,,
,D. Financial Management total,,,,,,-$331.40k,,,,,
7. Non-Operating Expenses total,,,-$141.91k,-$1.22m,-$5.25m,-$1.09m,-$388.96k,,,,,
8. Net Income,A. Total Operating Profit,,-$8.49m,-$303.05k,$1.87m,-$28.98m,-$6.72m,-$71.01m,-$25.05m,$2.92m,$4.73m,$2.20m
,A. Total Operating Profit total,,-$8.49m,-$303.05k,$1.87m,-$28.98m,-$6.72m,-$71.01m,-$25.05m,$2.92m,$4.73m,$2.20m
,B. Net Non-Operating Income,,$142.62k,-$878.58k,-$5.04m,-$1.09m,-$388.96k,,,,,
,B. Net Non-Operating Income total,,$142.62k,-$878.58k,-$5.04m,-$1.09m,-$388.96k,,,,,
,C. Expenses Reversal Adjustment,,,$249.57k,$78.39k,$440.28k,$64.08k,,$1.09m,,,
,C. Expenses Reversal Adjustment total,,,$249.57k,$78.39k,$440.28k,$64.08k,,$1.09m,,,
8. Net Income total,,,-$8.35m,-$932.06k,-$3.09m,-$29.63m,-$7.04m,-$71.01m,-$23.97m,$2.92m,$4.73m,$2.20m
